Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201701;101,7519;1,8;NA;Noreste
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201701;101,6513;1,7;NA;Noroeste
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201701;104,3737;4,4;NA;Cuyo
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201701;101,9938;2;NA;Patagonia
04.1.1;Alquiler de la vivienda;Clase;201701;102,186;2,2;NA;Pampeana
04.1.1;Alquiler de la vivienda;Clase;201701;105,4276;5,4;NA;Noreste
04.1.1;Alquiler de la vivienda;Clase;201701;102,6262;2,6;NA;Noroeste
04.1.1;Alquiler de la vivienda;Clase;201701;104,0926;4,1;NA;Cuyo
04.1.1;Alquiler de la vivienda;Clase;201701;102,9396;2,9;NA;Patagonia
06.4.1;Gastos de prepagas;Clase;201701;102,0475;2;NA;Pampeana
06.4.1;Gastos de prepagas;Clase;201701;101,3112;1,3;NA;Noreste
06.4.1;Gastos de prepagas;Clase;201701;100,6347;0,6;NA;Noroeste
06.4.1;Gastos de prepagas;Clase;201701;99,8932;-0,1;NA;Cuyo
06.4.1;Gastos de prepagas;Clase;201701;101,2825;1,3;NA;Patagonia
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201701;102,6366;2,6;NA;Pampeana
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201701;99,509;-0,5;NA;Noreste
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201701;103,364;3,4;NA;Noroeste
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201701;102,8179;2,8;NA;Cuyo
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201701;104,4497;4,4;NA;Patagonia
0;Nivel general;Nivel general y divisiones COICOP;201701;101,313;1,3;NA;GBA
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201701;101,3069;1,3;NA;GBA
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201701;100,5008;0,5;NA;GBA
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201701;97,8719;-2,1;NA;GBA
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201701;99,9812;0;NA;GBA
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201701;100,8651;0,9;NA;GBA
06;Salud;Nivel general y divisiones COICOP;201701;101,3559;1,4;NA;GBA
07;Transporte;Nivel general y divisiones COICOP;201701;101,7583;1,8;NA;GBA
08;Comunicación;Nivel general y divisiones COICOP;201701;103,8174;3,8;NA;GBA
09;Recreación y cultura;Nivel general y divisiones COICOP;201701;103,243;3,2;NA;GBA
10;Educación;Nivel general y divisiones COICOP;201701;100,4869;0,5;NA;GBA
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201701;103,2868;3,3;NA;GBA
12;Bienes y servicios varios;Nivel general y divisiones COICOP;201701;102,117;2,1;NA;GBA
01.1;Alimentos;Grupos;201701;101,2848;1,3;NA;GBA
01.2;Bebidas no alcohólicas;Grupos;201701;101,4518;1,5;NA;GBA
02.1;Bebidas alcohólicas;Grupos;201701;101,152;1,2;NA;GBA
02.2;Tabaco;Grupos;201701;100,0013;0;NA;GBA
03.1;Prendas de vestir y materiales;Grupos;201701;97,3044;-2,7;NA;GBA
03.2;Calzado;Grupos;201701;99,5435;-0,5;NA;GBA
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201701;99,252;-0,7;NA;GBA
04.3;Mantenimiento y reparación de la vivienda;Grupos;201701;103,447;3,4;NA;GBA
04.5;Electricidad, gas y otros combustibles;Grupos;201701;99,9653;0;NA;GBA
05.6;Bienes y servicios para la conservación del hogar;Grupos;201701;100,6718;0,7;NA;GBA
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;201701;102,0863;2,1;NA;GBA
07.1;Adquisición de vehículos;Grupos;201701;102,7677;2,8;NA;GBA
07.2;Funcionamiento de equipos de transporte personal;Grupos;201701;102,1809;2,2;NA;GBA
